iso_timestamp,short_id,severity,area,files,context_or_repro,root_cause,fix_summary,verification,status,commit
2025-01-28T00:35:00-08:00,signin-button-not-working,high,frontend,stockbuddy/src/pages/SignIn.jsx,"Sign in button not working after form refresh fix","Button onClick handler was preventing form onSubmit from working","Removed conflicting button click handlers and simplified form submission",button click test,fixed,
2025-10-18T02:19:15-07:00,trading-websocket-01,high,trading,auth-backend/routes/trading.js,"Server crashes on startup with MODULE_NOT_FOUND for ../websocket-client","websocket-client.js was deleted but trading.js still required it","Commented out require and replaced initializeWebSocket with stub returning null WebSocket object; getStockQuote falls back to REST API",server startup,fixed,
2025-10-18T02:22:26-07:00,shop-items-update-01,low,shop,"auth-backend/routes/shop.js,stockbuddy/src/pages/Shop.jsx","User requested removal of Coin Starter Pack and addition of more useful shop items","Coin Starter Pack was not useful; needed more variety in shop","Removed Coin Starter Pack; added XP Bundle (instant 200 XP), Lesson Skip Token (skip lessons), and Streak Freeze (3-day protection); implemented purchase logic and success messages",manual shop testing,fixed,
2025-11-07T20:42:35-08:00,shop-inventory-activation-01,medium,shop,"auth-backend/routes/shop.js,auth-backend/routes/auth.js,stockbuddy/src/services/api.js,stockbuddy/src/pages/Inventory.jsx,stockbuddy/src/pages/Shop.jsx","Shop items activated immediately after purchase without inventory control","Purchase handler auto-applied effects instead of deferring activation","Defer activation by storing purchases, add /shop/use API, and update inventory UI to trigger effects on demand",manual inventory testing,fixed,
2025-11-07T20:53:40-08:00,shop-inventory-activation-02,critical,shop,stockbuddy/src/pages/Inventory.jsx,"Inventory card still showed no activate affordance for ready items","UI only rendered buttons when IDs resolved correctly, leaving older purchases without a visible CTA","Guard resolvePurchaseId usage and render primary Activate button whenever an item is ready",manual inventory testing,fixed,
2025-11-07T20:58:00-08:00,shop-inventory-activation-03,critical,shop,"auth-backend/routes/auth.js","Inventory still showed boosters as auto-activated immediately after purchase","Legacy purchase records were stored with active=true and never reset when fetched","Sanitize purchasedItems in user-data endpoint to reset stray active flags unless consumed; persist cleanup to storage (requires server restart to take effect)",manual inventory testing,fixed,
2025-11-07T22:34:12-06:00,learn-more-button-border,low,frontend,stockbuddy/src/pages/Home.jsx,stockbuddy/src/globals.css,"Learn More button has white border that user wants removed","Button using btn-outline-light class and CSS border styling","Removed btn-outline-light class, set border to none in CSS, matched Get Started Free button style with grey background",visual inspection,fixed,
2025-11-07T22:41:49-06:00,stock-ticker-invisible,medium,frontend,stockbuddy/src/components/StockTicker.jsx,"Stock ticker not visible on home page","Component starts with isVisible=false and only becomes visible after data loads, making it invisible if data fails or is still loading","Updated visibility logic to show component when data is available OR when loading, so it's always visible",visual inspection,fixed,
2025-11-07T22:42:51-06:00,stock-ticker-fades-away,medium,frontend,stockbuddy/src/components/StockTicker.jsx,"Stock ticker shows 'Loading market data' then fades away when backend returns 500 errors","Visibility logic only kept component visible while loading; once loading completed with errors, isLoading became false and component faded away","Updated visibility logic to keep component visible when there's an error, and show error message instead of loading message when data fails",visual inspection,fixed,
2025-11-07T22:49:43-06:00,stock-quote-500-errors,high,api,auth-backend/routes/trading.js,"Backend returning 500 errors for all stock quote requests, stock ticker not loading real-time data","getStockQuoteFromREST function lacked error handling around Alpaca API calls, causing unhandled exceptions when API fails","Added try-catch around Alpaca API calls, improved error logging, and enhanced error messages in route handler",backend logs and API test,fixed,
2025-11-07T22:51:15-06:00,stock-ticker-scrolling-broken,medium,frontend,stockbuddy/src/components/StockTicker.jsx,stockbuddy/src/components/StockTicker.css,"Stock ticker not scrolling like it used to","CSS structure had parent as flex container with justify-content: space-between, preventing continuous scrolling animation","Added wrapper div for scrolling content, moved animation to wrapper, added overflow: hidden to parent, removed justify-content: space-between",visual inspection,fixed,
2025-11-07T23:13:58-06:00,home-page-double-content,low,frontend,stockbuddy/src/pages/Home.jsx,"User wants to double placeholder text and images to make home page longer","Home page had 3 sections, user wanted more content","Duplicated all three sections (Track Portfolio, Learn Lessons, Simulate Trades) with staggered FadeInSection delays (450, 600, 750ms) to create 6 total sections",visual inspection,fixed,
2025-11-10T13:05:00-08:00,testing-ci-hardening-01,medium,platform,"auth-backend/server.js;auth-backend/routes/auth.js;auth-backend/tests/auth.test.js;stockbuddy/src/pages/__tests__/Inventory.test.jsx;stockbuddy/src/pages/__tests__/Shop.test.jsx;stockbuddy/vitest.setup.js;stockbuddy/vite.config.js;.github/workflows/ci.yml;Documentation/README.md","Project Week 1 checklist required testing/CI baseline and auth hardening updates","Repo lacked automated smoke tests, CI wiring, env validation, and rate-limited auth logging","Added Jest/Vitest smoke tests, root lint/test scripts, CI workflow, env validation with rotating auth logs, and rate limiting on login/OAuth endpoints","tests pending (npm install permission error)",fixed,
2025-11-10T14:35:00-08:00,ai-coach-scroll-01,low,frontend,stockbuddy/src/pages/AICoach.jsx,"AI coach chat nudged page on each message","Unconditional scrollIntoView forced outer page scroll","Only auto-scroll when user is already near bottom using container ref and scrollTo","manual chat interaction pending",fixed,
2025-11-10T14:55:00-08:00,ai-coach-gemini-01,medium,ai,auth-backend/routes/ai-coach.js,"Requested switch of AI Coach to Google Gemini API","AI Coach still targeted OpenAI chat completions","Replaced provider wiring with Gemini client and updated diagnostics/test endpoints","linter","fixed",
2025-11-10T15:05:00-08:00,ai-coach-gemini-02,medium,ai,auth-backend/routes/ai-coach.js,"AI coach chat showed no reply after Gemini integration","Gemini call returned empty/blocked responses and fallback required extra config","Set system-role instructions, bubbled block reasons, and short-circuited when neither Gemini nor Ollama configured","manual trigger pending","fixed",
2025-11-10T15:20:00-08:00,ai-coach-markdown-01,low,frontend,stockbuddy/src/pages/AICoach.jsx,"AI coach chat renders Gemini markdown like **bold** as plain text","Message renderer treated responses as plain strings","Add minimal markdown-to-HTML sanitizer and render via dangerouslySetInnerHTML while preserving scroll guard","manual chat check pending","fixed",
2025-01-28T01:20:00-08:00,ai-coach-merge-conflict-01,high,frontend,stockbuddy/src/pages/AICoach.jsx,"Uncaught ReferenceError: chatMessages is not defined at AICoach.jsx:276","Merge conflict left references to chatMessages without hook initialization","Added useCoachChat hook call to provide chatMessages setChatMessages addMessage resetChat; replaced inline chat UI with CoachChat component; removed chat refs and auto-scroll useEffect (handled by CoachChat); made hook enabled state reactive using bouncePhase",browser console check,fixed,
2025-11-17T14:14:55-06:00,google-auth-module-missing,high,auth,auth-backend/routes/auth.js,"Server fails to start with 'Cannot find module ./certificatesubjecttokensupplier' in google-auth-library","Corrupted node_modules installation - missing file in google-auth-library package","Removed node_modules and package-lock.json, reinstalled dependencies with npm install",module load test,fixed,
2025-11-24T03:30:00-06:00,stock-ticker-loading-flash,medium,frontend,"stockbuddy/src/components/StockTicker.jsx,stockbuddy/src/utils/stockCache.js","'Loading market data' briefly appears on first page load even when cached data exists","Component always started with isLoading=true and checked cache asynchronously, causing flash of loading state","Added synchronous cache check before render; initialize state with cached data if available; only show loading if cache is empty",visual inspection on first page load,fixed,2025-11-24T08:20:00-08:00,aicoach-decision-blank-01,high,ai,"stockbuddy/src/pages/AICoach.jsx,auth-backend/routes/ai-coach.js","AI analysis result caused frontend crash (blank screen) if response structure was incomplete","Frontend accessed nested properties of potentially undefined objects; backend allowed partial objects","Implemented defensive programming in frontend (optional chaining, fallbacks) and strict schema validation/filling in backend",manual verification,fixed,
2025-11-24T08:25:00-08:00,aicoach-remove-ollama-01,medium,ai,"auth-backend/routes/ai-coach.js","Removed Ollama fallback to ensure consistent AI model usage","User requested strict model control; mixed providers caused confusion about response quality","Removed Ollama fallback logic in chat and analyze endpoints; now returns 503 if Gemini is not configured",code review,fixed,
2025-11-24T08:30:00-08:00,aicoach-state-sync-01,high,frontend,"stockbuddy/src/pages/AICoach.jsx,stockbuddy/src/components/CoachChat.jsx","AI Coach chat messages were not syncing between submission handler and UI component","AICoach and CoachChat both initialized independent useCoachChat hooks, so updates in one were not reflected in the other","Refactored CoachChat to be a controlled component accepting messages/handlers as props; hoisted state to AICoach parent",manual verification,fixed,
2025-11-24T08:45:00-08:00,aicoach-maxtokens-limit-02,medium,ai,"auth-backend/routes/ai-coach.js","AI analysis returned 500 error due to MAX_TOKENS truncation","Analysis response (JSON) exceeded the 1500 token limit, causing Gemini to truncate and backend to throw generic error","Increased maxTokens to 8192 for analyze endpoint; added specific error handling for truncation",manual verification,fixed,
2025-11-27T10:00:00-08:00,mvp-lockdown-waitlist-01,high,platform,"auth-backend/routes/waitlist.js;auth-backend/routes/invites.js;stockbuddy/src/pages/Waitlist.jsx;stockbuddy/src/routes/Protected.jsx;stockbuddy/src/store/user.js","MVP needed lockdown mode with waitlist for controlled beta access","No mechanism to restrict access to approved users only","Added LOCKDOWN env flag, waitlist routes with JSON storage, invite system, Protected route guard, and Waitlist page",manual verification,fixed,
2025-11-27T10:00:00-08:00,backend-hardening-01,medium,api,"auth-backend/server.js;auth-backend/middleware/errorHandler.js;auth-backend/middleware/validateEnv.js","Backend needed security hardening and consistent error handling","Missing helmet, loose CORS, no env validation, inconsistent error responses","Added helmet middleware, restricted CORS, Zod env validation at boot, shared error handler with standard JSON shape",manual verification,fixed,
2025-11-27T10:00:00-08:00,trading-validation-01,high,trading,"auth-backend/routes/trading.js","Trading needed order validation and ALPACA_ENV safety enforcement","No input validation on buy/sell, no protection against live trading","Added Zod order validation schema, ALPACA_ENV=paper enforcement, checkTradingAllowed guard, buy/sell endpoints",manual verification,fixed,
2025-11-27T10:00:00-08:00,frontend-ux-polish-01,medium,frontend,"stockbuddy/src/components/ErrorBoundary.jsx;stockbuddy/src/pages/NotFound.jsx;stockbuddy/src/lib/seo.jsx;stockbuddy/src/components/Skeleton.jsx","Frontend needed error handling, 404 page, and skeleton states","No error boundary, missing 404 page, no loading skeletons","Added ErrorBoundary class component, NotFound page, useSEO hook, skeleton components for chart/portfolio/chat",manual verification,fixed,
2025-11-27T10:00:00-08:00,ci-workflows-fix-01,medium,ci,".github/workflows/frontend-ci.yml;.github/workflows/backend-ci.yml;.github/workflows/codeql.yml;.github/dependabot.yml","CI workflows were in wrong location and missing security scanning","Workflows in .github/ instead of .github/workflows/, no CodeQL or Dependabot","Moved workflows to correct location, added CodeQL for security scanning, added Dependabot for dependency updates",CI run verification,fixed,
2025-11-27T12:05:00-06:00,home-shimmer-delay-01,low,frontend,stockbuddy/src/pages/Home.jsx,"Shimmer felt delayed before starting","IntersectionObserver threshold too high delayed entry detection","Lowered threshold from 0.4 to 0.1 for earlier trigger",manual scroll verification,fixed,
2025-11-27T12:12:00-06:00,home-shimmer-glow-01,low,frontend,stockbuddy/src/pages/Home.jsx,"Shimmer looked dim; wanted brighter glow","Tracer band narrow and semi-opaque; no glow around text","Widened and intensified tracer band, increased gold contrast, added animated text glow",visual inspection,fixed,
2025-11-27T12:18:00-06:00,home-shimmer-streak-01,low,frontend,stockbuddy/src/pages/Home.jsx,"Requested a visible light streak running through the shimmer","Only two gradient layers; lacked distinct moving streak","Added a third, ultra-narrow white gradient layer synced with shimmer sweep",visual inspection,fixed,
2026-01-18T00:00:00-08:00,solid-cleanup-01,low,platform,"auth-backend/routes/trading.js;auth-backend/routes/shop.js;auth-backend/services/tradingService.js;stockbuddy/src/services/api.js;stockbuddy/src/hooks/useCoachChat.js;auth-backend/routes/auth.js","Codebase cleanup following SOLID principles","Duplicated authenticateToken middleware across routes; redundant tradingService.js; verbose debug logging in production code","Removed duplicate authenticateToken by reusing from auth.js; deleted tradingService.js (code already in trading.js); cleaned verbose console.log statements; created Documentation/README.md with remaining tasks",code review,fixed,
2026-01-18T00:30:00-08:00,lesson-content-complete-01,low,frontend,"stockbuddy/src/data/lessonContent.js;stockbuddy/src/data/lessonStructure.js;Documentation/README.md","Lesson content marked as incomplete but was already complete","Legacy lessonContent.js unused; lessonStructure.js has full 25 lessons with quizzes","Deleted unused lessonContent.js; updated README to reflect completion; lesson system fully functional with 5 units 25 lessons",code review,fixed,
2026-01-18T01:45:00-08:00,learn-roadmap-redesign-01,low,frontend,stockbuddy/src/pages/Learn.jsx,"Learn page units looked too wide and clunky","Wide card grid layout not engaging; user wanted Duolingo-style roadmap","Redesigned to vertical roadmap: zigzag lesson nodes, unit header banners, SVG path connectors, pulse animation on next lesson, compact 480px max-width",visual inspection,fixed,
2026-02-10T00:00:00-08:00,lunar-theme-home-navbar-01,low,frontend,"stockbuddy/src/pages/Home.jsx;stockbuddy/src/components/NavBar.css","User named the style 'lunar space theme' and requested navbar + below-hero sections to match","Home lower sections and navbar still used light backgrounds inconsistent with hero theme","Re-themed navbar to dark glass with gold accents; converted feature/phone/testimonial/CTA sections and cards to lunar dark gradients with improved contrast and preserved hierarchy",visual inspection,fixed,
2026-02-10T00:00:00-08:00,lunar-fluid-sections-01,low,frontend,stockbuddy/src/pages/Home.jsx,"Visible hard split between hero and next section broke fluid background feel","Hero owned gradient while wrapper was solid black, creating a section boundary line","Moved gradient to PageWrapper as a top-only background layer and made HeroSection transparent so all sections scroll over one continuous themed canvas",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-remove-features-section-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User requested deleting the features/test section from home","Feature section remained rendered between hero and phone sections","Removed features ref/config entry and deleted full features section block plus unused feature styled components",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-remove-testimonials-section-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User requested deleting the testimonials section","Testimonials block still rendered in home page body","Removed testimonials section markup and cleaned associated refs/animation helpers to avoid dead code",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-remove-cta-section-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User requested deleting final CTA card section","CTA block still rendered before footer","Removed CTA section markup and cleaned related refs/styled components to keep section tracking stable",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-soften-polka-dots-01,low,frontend,stockbuddy/src/pages/Home.jsx,"Background dots looked too crisp and multicolor for lunar theme","Dot pattern used mixed colors with sharp rendering","Changed dots to single muted gold tone and applied blur filter to PolkaDotOverlay for softer texture",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-phone-stats-clipping-01,low,frontend,stockbuddy/src/pages/Home.jsx,"10K+ floating stat clipped against phone during scroll tilt","Phone 3D stacking context rendered mockup above stat cards at times","Raised FloatingStats layering (z-index + translateZ) and set phone mockup z-index so stat cards consistently render above phone",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-stars-density-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User requested reducing background stars to ~25% density","Star field used too many repeated dots per tile","Reduced polka/star tile points from 11 to 3 while preserving style/blur for consistent look",visual inspection,fixed,
2026-02-10T00:00:00-08:00,navbar-home-initial-flash-01,low,frontend,stockbuddy/src/App.jsx,"Navbar appeared white on home load and only corrected after scroll","App route effect forced light navbar on all non-dark pages, racing with Home dynamic navbar sync","Skip light override on / and initialize Home navbar as dark/transparent so hero theme applies immediately",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-starfield-soften-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User requested stars instead of crisp dots and slightly less blur","Background texture used large uniform dots and heavy blur, reading as polka pattern","Replaced dot tile with varied small star points and reduced overlay blur from 1.4px to 0.65px for a clearer sky-like texture",visual inspection,fixed,
2026-02-10T00:00:00-08:00,navbar-white-flash-load-01,low,frontend,stockbuddy/src/components/NavBar.css,"White haze appeared behind navbar on initial load","Glass blur + light edge highlight amplified initial light background paint","Raised navbar base opacity and removed white inset/blur treatment; kept subtle dark shadow and blue-toned bottom border",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-shell-light-strip-01,low,frontend,stockbuddy/src/App.jsx,"White strip appeared behind navbar at top on home load","Home route still received page-light shell classes causing light body/html background in top offset area","Treat home route as page-dark at app-shell level while keeping other non-dark routes page-light",visual inspection,fixed,
2026-02-10T00:00:00-08:00,navbar-scroll-color-disable-01,low,frontend,stockbuddy/src/pages/Home.jsx,"User wanted navbar to stay transparent and not change on scroll","Home contained section-based scroll effect that updated navbar color/theme continuously","Removed Home sectionConfig + scroll navbar effect and kept route-level transparent navbar behavior",visual inspection,fixed,
2026-02-10T00:00:00-08:00,scrollbar-track-transparent-01,low,frontend,stockbuddy/src/globals.css,"User requested transparent scrollbar background","Track color still inherited from theme variables and route scripts","Set scrollbar track token to transparent and hard-pinned ::-webkit-scrollbar-track background to transparent",visual inspection,fixed,
2026-02-10T00:00:00-08:00,home-top-strip-padding-01,low,frontend,"stockbuddy/src/App.jsx;stockbuddy/src/globals.css","Light strip remained at very top behind transparent navbar on home","Global app shell had 60px top padding, exposing light shell area above hero","Added home-specific app container class and removed top padding on home route so hero background reaches top under navbar",visual inspection,fixed,
2026-02-22T04:38:45+00:00,auth-email-case-01,high,auth,"auth-backend/routes/auth.js,auth-backend/tests/auth.test.js","Login with uppercase or whitespace-padded email fails even with correct credentials","Email matching used exact string comparisons without normalization","Normalize emails on register/login/google auth and compare case-insensitively; added regression test for uppercase email login",npm test --prefix auth-backend -- --runInBand,fixed,pr
2026-02-22T05:23:38+00:00,scrollbar-glass-thumb-01,low,frontend,stockbuddy/src/globals.css,"User reported scrollbar background visible and requested transparent track with glassy thumb","Scrollbar thumb used flat solid fill and lacked translucent/glass treatment","Kept track fully transparent and switched thumb to translucent gradient with subtle blur, border, and depth shadow",visual inspection,fixed,
